,id,group.id,treatment,trial,conf.HA,conf.SA,sel.adv,sel.adv.gr,conf.sel.adv,conf.unsel.adv,confirm.oppose,won,HA.correct,SA.correct,changed,changed.gr,dominant.balls,majmin
1,1,1,Individuals in voting groups,1,2,-3,1,0,2,-3,1,1,1,0,1,0,50,minority
2,1,1,Individuals in voting groups,2,1,-2,0,0,1,-2,1,0,0,1,1,1,50,majority
3,1,1,Individuals in voting groups,3,1,2,1,1,2,1,0,0,0,0,0,0,50,majority
4,1,1,Individuals in voting groups,4,2,1,1,1,1,2,0,0,0,0,0,1,50,majority
5,1,1,Individuals in voting groups,5,2,-4,1,0,2,-4,1,0,0,1,0,1,50,minority
6,1,1,Individuals in voting groups,6,5,5,1,1,5,5,0,1,1,1,0,0,90,majority
7,1,1,Individuals in voting groups,7,1,1,1,1,1,1,0,0,0,0,0,0,50,majority
8,1,1,Individuals in voting groups,8,1,1,1,1,1,1,0,0,0,0,0,0,50,majority
9,1,1,Individuals in voting groups,9,1,2,1,1,2,1,0,1,1,1,0,0,50,majority
10,1,1,Individuals in voting groups,10,1,1,1,1,1,1,0,1,1,1,0,0,50,majority
11,1,1,Individuals in voting groups,11,4,4,1,1,4,4,0,1,1,1,0,0,90,majority
12,1,1,Individuals in voting groups,12,2,1,1,1,1,2,0,0,0,0,0,0,50,majority
13,1,1,Individuals in voting groups,13,1,1,1,1,1,1,0,1,1,1,0,0,50,majority
14,1,1,Individuals in voting groups,14,4,4,1,1,4,4,0,1,1,1,0,0,90,majority
15,1,1,Individuals in voting groups,15,1,1,1,1,1,1,0,0,0,0,0,0,50,majority
16,1,1,Individuals in voting groups,16,4,5,1,1,5,4,0,1,1,1,0,0,90,majority
17,1,1,Individuals in voting groups,17,2,1,1,1,1,2,0,0,0,0,0,0,50,majority
18,1,1,Individuals in voting groups,18,2,1,1,1,1,2,0,1,1,1,0,0,50,majority
19,1,1,Individuals in voting groups,19,4,5,1,1,5,4,0,1,1,1,0,0,90,majority
20,1,1,Individuals in voting groups,20,2,2,1,1,2,2,0,1,1,1,NA,NA,50,majority
21,2,1,Individuals in voting groups,1,1,-3,0,0,1,-3,1,1,1,0,0,0,50,majority
22,2,1,Individuals in voting groups,2,1,-4,0,0,1,-4,1,0,0,1,0,1,50,majority
23,2,1,Individuals in voting groups,3,1,1,0,1,1,1,0,0,0,0,0,0,50,minority
24,2,1,Individuals in voting groups,4,1,1,0,1,1,1,0,0,0,0,0,1,50,minority
25,2,1,Individuals in voting groups,5,1,-4,0,0,1,-4,1,0,0,1,1,1,50,majority
26,2,1,Individuals in voting groups,6,5,5,1,1,5,5,0,1,1,1,0,0,90,majority
27,2,1,Individuals in voting groups,7,1,1,1,1,1,1,0,0,0,0,0,0,50,majority
28,2,1,Individuals in voting groups,8,1,1,1,1,1,1,0,0,0,0,0,0,50,majority
29,2,1,Individuals in voting groups,9,2,1,1,1,1,2,0,1,1,1,0,0,50,majority
30,2,1,Individuals in voting groups,10,1,2,1,1,2,1,0,1,1,1,0,0,50,majority
31,2,1,Individuals in voting groups,11,4,4,1,1,4,4,0,1,1,1,0,0,90,majority
32,2,1,Individuals in voting groups,12,1,2,1,1,2,1,0,0,0,0,0,0,50,majority
33,2,1,Individuals in voting groups,13,2,1,1,1,1,2,0,1,1,1,0,0,50,majority
34,2,1,Individuals in voting groups,14,3,3,1,1,3,3,0,1,1,1,0,0,90,majority
35,2,1,Individuals in voting groups,15,1,1,1,1,1,1,0,0,0,0,0,0,50,majority
36,2,1,Individuals in voting groups,16,5,4,1,1,4,5,0,1,1,1,0,0,90,majority
37,2,1,Individuals in voting groups,17,1,1,1,1,1,1,0,0,0,0,0,0,50,majority
38,2,1,Individuals in voting groups,18,1,2,1,1,2,1,0,1,1,1,0,0,50,majority
39,2,1,Individuals in voting groups,19,5,4,1,1,4,5,0,1,1,1,0,0,90,majority
40,2,1,Individuals in voting groups,20,1,1,1,1,1,1,0,1,1,1,NA,NA,50,majority
41,3,1,Individuals in voting groups,1,1,-3,0,0,1,-3,1,1,1,0,1,0,50,majority
42,3,1,Individuals in voting groups,2,2,-3,1,0,2,-3,1,0,0,1,1,1,50,minority
43,3,1,Individuals in voting groups,3,1,1,0,1,1,1,0,0,0,0,0,0,50,minority
44,3,1,Individuals in voting groups,4,2,1,0,1,1,2,0,0,0,0,0,1,50,minority
45,3,1,Individuals in voting groups,5,2,-4,0,0,2,-4,1,0,0,1,0,1,50,majority
46,3,1,Individuals in voting groups,6,4,5,0,1,5,4,0,1,1,1,1,0,90,minority
